"title","field_farm_id","field_tract_id","field_field_id","field_state_territory","field_county","field_waste_system","field_lagoon_cover","field_lagoon_aeration"
"1","49","100","218","LA","Russell","None","Yes","Yes"
"2","85","129","148","MS","Johnson","Organic","No","No"
"3","130","33","201","LA","Monroe","None","Yes","Yes"
"4","181","52","20","TX","Thompson","None","No","Yes"
"5","41","163","5","AR","Henderson","None","No","Yes"
"6","147","145","221","NC","Morgan","None","Yes","No"
"7","98","125","196","SC","Livingston","Organic","No","No"
"8","128","167","64","FL","Henry","None","Yes","No"
"9","169","179","137","GA","Collier","None","Yes","No"
"10","136","182","25","TN","Hart","None","Yes","Yes"
"11","113","193","191","VA","Jones","None","No","Yes"
"12","34","219","169","WY","Willow","None","No","Yes"
